Analyte,NORMA-Gaussian_MAE,NORMA-Gaussian_MAPE,NORMA-Gaussian_R2,NORMA-Quantile_MAE,NORMA-Quantile_MAPE,NORMA-Quantile_R2,ARIMA_MAE,ARIMA_MAPE,ARIMA_R2
A1C,0.4,5.7,0.70,0.4,6.1,0.64,0.5,7.7,0.37
ALB,0.3,7.7,0.84,0.3,8.5,0.74,0.3,10.2,0.75
ALP,15.6,15.2,0.80,16.0,15.4,0.74,24.3,19.9,0.78
ALT,6.2,24.7,0.79,7.2,27.8,0.62,14.5,40.4,0.57
AST,6.0,21.0,0.77,7.0,23.5,0.58,20.4,44.5,0.41
BUN,3.3,17.2,0.83,3.3,18.4,0.83,4.4,23.2,0.82
CA,0.3,3.0,0.76,0.3,3.3,0.66,0.4,4.4,0.40
CL,1.8,1.8,0.75,1.9,1.8,0.69,2.4,2.3,0.55
CO2,1.3,5.4,0.80,1.5,6.3,0.70,2.1,8.3,0.48
CRE,0.1,12.3,0.83,0.1,10.6,0.88,0.2,12.9,0.87
DBIL,0.3,36.5,0.64,0.3,48.0,0.51,0.4,88.0,0.57
GLU,14.0,11.3,0.61,15.7,12.9,0.48,21.1,17.7,0.23
HCT,2.0,6.1,0.83,2.1,6.2,0.79,3.0,8.7,0.60
HDL,6.0,11.1,0.80,6.5,12.1,0.73,8.8,18.8,0.53
HGB,0.7,6.2,0.84,0.7,6.3,0.79,1.0,8.5,0.63
K,0.3,6.3,0.56,0.3,6.7,0.45,0.4,8.5,0.15
LDL,15.0,20.0,0.72,17.7,21.8,0.55,18.6,33.7,0.52
MCH,0.6,2.1,0.90,0.5,1.8,0.90,0.6,2.2,0.83
MCHC,0.6,1.9,0.72,0.6,1.8,0.72,0.6,1.9,0.58
MCV,1.9,2.2,0.85,1.6,1.8,0.88,1.7,1.9,0.82
MPV,0.7,6.7,0.66,0.6,6.5,0.59,0.9,9.9,0.21
NA,1.8,1.3,0.64,1.8,1.3,0.62,2.2,1.6,0.49
PLT,52.8,19.3,0.29,30.3,13.5,0.79,36.6,18.1,0.68
RBC,0.2,6.4,0.84,0.2,6.3,0.81,0.3,8.5,0.64
RDW,0.5,3.4,0.86,0.5,3.0,0.87,0.7,4.6,0.81
TBIL,0.1,22.5,0.81,0.2,28.0,0.71,0.3,32.1,0.85
TC,17.0,9.8,0.76,20.3,12.0,0.57,24.8,17.5,0.44
TGL,28.7,22.8,0.71,36.2,28.7,0.48,---,---,---
TP,0.3,4.7,0.74,0.4,5.7,0.54,0.5,6.9,0.57
WBC,1.3,19.6,0.79,1.5,24.2,0.62,2.1,26.0,0.69
