Analyte,Full Name,Unit,Population RI
A1C,Hemoglobin A1c,%,4.0–5.6
ALB,Albumin,g/dL,3.5–5.5
ALP,Alkaline Phosphatase,U/L,30–110
ALT,Alanine Aminotransferase,U/L,10.0–40.0
AST,Aspartate Aminotransferase,U/L,10.0–40.0
BUN,Blood Urea Nitrogen,mg/dL,8–20
CA,Calcium,mg/dL,8.6–10.2
CL,Chloride,mEq/L,98–106
CO2,Bicarbonate,mEq/L,23–28
CRE,Creatinine,mg/dL,"F: 0.5–1.1, M: 0.7–1.3"
DBIL,Direct Bilirubin,mg/dL,0.1–0.3
GLU,Glucose,mg/dL,70–99
HCT,Hematocrit,%,"F: 37–47, M: 42–50"
HDL,HDL Cholesterol,mg/dL,40–100
HGB,Hemoglobin,g/dL,"F: 12.0–16.0, M: 14–18"
K,Potassium,mEq/L,3.5–5.0
LDL,LDL Cholesterol,mg/dL,0–130
MCH,Mean Corpuscular Hemoglobin,pg,28–32
MCHC,MCH Concentration,g/dL,33–36
MCV,Mean Corpuscular Volume,fL,80–98
MPV,Mean Platelet Volume,fL,7.5–12.5
NA,Sodium,mEq/L,136–145
PLT,Platelet Count,10³/µL,150–450
RBC,Red Blood Cell Count,10⁶/µL,"F: 4.0–5.2, M: 4.5–5.9"
RDW,Red Cell Distribution Width,%,9–14.5
TBIL,Total Bilirubin,mg/dL,0.3–1.1
TC,Total Cholesterol,mg/dL,100–200
TGL,Triglycerides,mg/dL,40–150
TP,Total Protein,g/dL,6.0–8.0
WBC,White Blood Cell Count,10³/µL,4.5–11.0
